6LZG	0.533372	791	6405	0.533538	791	6407	0.533543	791	6407
6M0J	0.536918	791	6406	0.537039	791	6408	0.536903	791	6408
6M17	0.508697	3074	24718	0.507885	3072	24706	0.507185	3072	24706
6M3W	0.443374	1032	7971	0.341179	1473	11397	0.340834	1473	11397
6VSB	0.492964	2905	22000	0.463691	3360	26163	0.463339	3360	26163
6VXX	0.537737	2916	22812	0.498157	3363	26175	0.497571	3363	26175
6VYB	0.513685	2875	21539	0.494749	3363	26175	0.494284	3363	26175
6W41	0.556948	638	4906	0.563868	638	4907	0.563301	638	4907
6WPS	0.538236	3540	27105	0.510816	4023	31221	0.510144	4023	31221
6WPT	0.485271	3277	23436	0.50263	3789	29425	0.501716	3789	29425
6X29	0.505677	2916	22806	0.470843	3363	26175	0.470911	3363	26175
6X2A	0.515176	2875	21562	0.49435	3363	26196	0.493926	3363	26196
6X2B	0.495278	2861	21120	0.478048	3363	26196	0.477521	3363	26196
6X2C	0.531412	2913	22800	0.498393	3363	26196	0.497981	3363	26196
6X6P	0.50586	3051	23817	0.482509	3363	26181	0.481896	3363	26181
6X79	0.52951	2850	21537	0.494009	3342	26004	0.492999	3342	26004
6XC2	0.55804	1246	9556	0.558959	1258	9634	0.558706	1258	9634
6XC3	0.578791	1065	8135	0.582797	1072	8180	0.582274	1072	8180
6XC4	0.573927	1253	9632	0.575315	1258	9669	0.574854	1258	9669
6XC7	0.576882	1065	8152	0.582089	1071	8190	0.581409	1071	8190
6XDG	0.503729	1043	7948	0.502705	1059	8049	0.501441	1059	8049
6XE1	0.563697	636	4862	0.565377	638	4883	0.564239	638	4883
6XF5	0.513642	3027	23646	0.48603	3378	26319	0.485378	3378	26319
6XF6	0.494489	2928	22112	0.48314	3363	26181	0.482384	3363	26181
6XKL	0.511539	2920	22195	0.482301	3360	26169	0.481595	3360	26169
6XKP	0.531252	1253	9177	0.56915	1270	9662	0.568652	1270	9662
6XKQ	0.529161	583	4420	0.536507	611	4667	0.536307	611	4667
6XLU	0.518208	3178	24830	0.506984	3363	26181	0.506354	3363	26181
6XM0	0.494512	3125	24411	0.476633	3363	26181	0.47604	3363	26181
6XM3	0.508098	3143	24538	0.489818	3363	26181	0.489094	3363	26181
6XM4	0.511104	3143	24538	0.491791	3363	26181	0.49111	3363	26181
6XM5	0.499718	3149	24581	0.48384	3363	26181	0.482939	3363	26181
6XRA	0.503681	1044	8064	0.396371	1485	11439	0.396131	1485	11439
6XS6	0.500272	2357	18294	0.39799	3324	25875	0.397294	3324	25875
6YLA	0.56828	1273	9812	0.567683	1283	9882	0.567014	1283	9882
6YM0	0.558702	634	4885	0.559584	637	4907	0.559623	637	4907
6YOR	0.573575	1260	9710	0.57441	1268	9772	0.57369	1268	9772
6YZ5	0.529985	322	2533	0.530837	322	2535	0.53088	322	2535
6Z2M	0.5639	1516	11699	0.564439	1516	11707	0.563184	1516	11707
6Z43	0.525128	3351	25801	0.501108	3744	29148	0.500684	3744	29148
6Z97	0.521393	2975	22781	0.496493	3363	26181	0.496037	3363	26181
6ZB4	0.519892	3133	24403	0.502408	3375	26310	0.50182	3375	26310
6ZB5	0.524394	3096	24075	0.50308	3375	26310	0.502241	3375	26310
6ZCZ	0.568846	754	5819	0.568374	759	5859	0.568077	759	5859
6ZDG	0.537776	1884	14511	0.536914	1899	14616	0.535962	1899	14616
6ZDH	0.541899	4308	33372	0.521591	4680	36186	0.52098	4680	36186
6ZER	0.556215	1896	14585	0.556256	1906	14673	0.555325	1906	14673
6ZFO	0.565999	1252	9650	0.565052	1262	9720	0.564067	1262	9720
6ZGE	0.528357	3294	25761	0.519509	3399	26487	0.519214	3399	26487
6ZGG	0.486397	3207	25096	0.474973	3399	26517	0.474148	3399	26517
6ZGH	0.495012	3032	23720	0.460827	3399	26517	0.460478	3399	26517
6ZGI	0.531195	3294	25761	0.522644	3399	26517	0.522522	3399	26517
6ZHD	0.536254	3353	25985	0.51113	3747	29187	0.510685	3747	29187
6ZOW	0.506752	2862	22323	0.450351	3552	27691	0.450042	3552	27691
6ZOX	0.516201	3051	23814	0.496596	3330	25974	0.495732	3330	25974
6ZOY	0.511898	3063	23913	0.494136	3330	25959	0.494138	3330	25959
6ZOZ	0.512421	3208	25000	0.499888	3366	26235	0.498845	3366	26235
6ZP0	0.520099	3090	24117	0.499975	3351	26136	0.498848	3351	26136
6ZP1	0.507049	3051	23823	0.488327	3330	25965	0.487754	3330	25965
6ZP2	0.525101	3291	25716	0.518426	3384	26394	0.517917	3384	26394
6ZP5	0.506398	2861	22319	0.467997	3362	26181	0.467423	3362	26181
6ZP7	0.506871	2861	22319	0.467952	3362	26181	0.467513	3362	26181
6ZXN	0.52535	3522	27426	0.509259	3753	29121	0.50846	3753	29121
7A25	0.517708	3504	27384	0.500795	3741	29115	0.500231	3741	29115
7A29	0.512838	3510	27432	0.499068	3741	29115	0.498588	3741	29115
7A4N	0.508695	2889	22450	0.475246	3363	26214	0.474725	3363	26214
7A5R	0.504833	1358	10552	0.394191	1962	15342	0.393752	1962	15342
7A5S	0.516846	2124	16552	0.511889	2164	16838	0.511347	2164	16838
7A91	0.510187	839	6774	0.503594	864	6982	0.503179	864	6982
7A92	0.513467	1231	9899	0.509494	1258	10097	0.508913	1258	10097
7A93	0.466611	3221	25228	0.455679	3399	26517	0.45476	3399	26517
7A94	0.509912	3825	30140	0.49846	3994	31375	0.497782	3994	31375
7A95	0.461672	3794	29887	0.452606	3994	31375	0.451763	3994	31375
7A96	0.463797	3783	29811	0.452931	3994	31375	0.451778	3994	31375
7A97	0.461363	4373	34626	0.453539	4589	36233	0.452709	4589	36233
7A98	0.464446	4962	39435	0.455228	5184	41091	0.454662	5184	41091
7AD1	0.494784	2830	20956	0.481618	3363	26214	0.481027	3363	26214
7AKD	0.509488	3404	26314	0.486031	3815	29631	0.485216	3815	29631
7B14	0.467717	324	2512	0.493759	324	2535	0.49348	324	2535
7B17	0.525384	445	3393	0.552831	460	3516	0.552107	460	3516
7B18	0.508814	3814	29489	0.503411	4134	32063	0.502892	4134	32063
7B3O	0.572104	613	4667	0.574375	617	4732	0.57416	617	4732
7B62	0.555115	306	2450	0.554939	306	2451	0.554867	306	2451
7BEH	0.554517	626	4760	0.552908	631	4803	0.552424	631	4803
7BEI	0.566603	625	4773	0.565539	629	4807	0.565137	629	4807
7BEJ	0.568332	623	4774	0.569006	626	4798	0.569068	626	4798
7BEK	0.567265	628	4802	0.567724	628	4809	0.56676	628	4809
7BEL	0.584539	1728	13206	0.582336	1740	13308	0.581869	1740	13308
7BEM	0.563297	417	3229	0.567198	413	3209	0.567564	413	3209
7BEN	0.583933	2095	16008	0.582674	2119	16200	0.581979	2119	16200
7BEO	0.5822	2105	16112	0.580711	2123	16260	0.579939	2123	16260
